"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"decorativefilm.com","constructed for fuel tanks at Red Hill, Hawaii. </s><s> U.S. ARMY </s><s> Stained Glass Static Cling Window Films </s><s> SOLYX® Static","Cling Stained Glass","Window Films are a beautiful selection of original faux stained glass window films featuring Static Cling Technology"
"decorativefilm.com","window look at the fraction of the price of traditional stained glass without compromising quality! </s><s> SOLYX® Static","Cling Stained Glass","Window Films are perfect for Semi-Privacy, Decorative or Architectural applications and can be easily installed"
"archiveofourown.org","she made a bad decision. </s><s> She reeled back against the bar, grabbing at her face as a man loomed over her, dressed in a","beer stained Navy","uniform, his lip bleeding from the impact of her knuckles. </s><s> Space had cleared around them as the other bar customers"
"jackandjude.com",". </s><s> Jack and Jude had negotiated some of this track three years earlier, but had given it away where a fallen tree across a","tea-tree stained creek","had to be crossed without any support. </s><s> Anthony has since put up a rope for a steadying hand line, and once across, we were"
"abcam.com","was used as the chromogen. </s><s> The section was then counterstained with haematoxylin and mounted with DPX. </s><s> ICC/IF image of","ab32391 stained DU145","cells. </s><s> The cells were 4% formaldehyde fixed (10 minutes) and then incubated in 1 %BSA / 10 % normal goat serum / 0.3 M"
"witney.net","attackers may well have been bragging about the assault later on to other people and someone may have seen the man with","blood stained trousers",". </s><s> ""If you recognise the men in this CCTV footage then please come forward."" </s><s> Anyone with information should contact Insp"
"hembeck.com","the two of us! </s><s> Sounded like a good idea, no doubt about it, but you know how these things go sometimes--a house full of","ink stained wretches",", scarfing down free vittles and swilling complementary booze, all the while sharing industry gossip and/or"
"uncg.edu","circular gilt border, gilt figures, vines and roses; signed ""H. C""; motif continued on spine, also signed ""H. </s><s> C""; top","edge stained green",";... </s><s> Pale greenish-yellow (C104) calico-texture cloth; oval paper onlay with colored photograph of a woman with"
"ghananewsagency.org",", and advised persons with symptoms including feverishness, excessive sweating at night, and prolonged cough with","blood stained sputum",", to desist from self-medication, but to report immediately to the nearest health facility for screening and"
"hamiltoncountyherald.com","films excelled at establishing a creepy atmosphere and creating monsters that latched on to popular culture with","blood stained claws",". </s><s> Think about it: Is there a more iconic blend of imagery and sound in a horror film than a werewolf howling at a full moon? </s>"
"ecclesiasticalandheritageworld.co.uk","church, not just in its architecture but also its internal spirit. </s><s> Each time Isobel Brunsdon, of East Sussex based","Labyrinth Stained Glass",", visited the church she felt there was a vibrancy and energy about the place and wanted to reflect this in the design of"
"stainedglass.com.au","above it also suffering substantial damage. </s><s> As is often the case I was subcontracted by another firm, in this case","Dove Stained Glass","of Wagga Wagga, to carry out the restoration of the glass. </s><s> vandalised window </s><s> new portrait with original fragments </s><s> St"
